Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Description,Followers,Best_Hour_To_Post,Virality_Score,Likes_per_Follower,Shares_per_Follower,Comments_per_Follower,Post_Length,Hashtag_Count,Description_Score
Post_2681,Twitter,#Education,Tweet,Japan,4355093.0,419656.0,83750.0,6972.0,Low,Level up your tweet game with #Education,444733,6.0,1.0,0.5,0.1883152363328109,0.0156768218234311,40,1,1
Post_899,Twitter,#Music,Post,Germany,1190594.0,304893.0,33293.0,44281.0,Medium,Amazing post content you can't miss #Music,225799,17.0,1.0,0.5,0.1474452942661393,0.1,42,1,1
Post_2307,YouTube,#Music,Shorts,Australia,3594748.0,64875.0,4109.0,27363.0,High,Experience the best of shorts with #Music!,1290608,18.0,0.0746524118864907,0.0502670059382864,0.0031837707499101,0.0212016351982941,42,1,1
Post_412,YouTube,#Dance,Tweet,Canada,3230389.0,297140.0,22102.0,29483.0,Low,New trend in tweet just dropped #Dance!,5754884,1.0,0.0605963560690363,0.0516326654021175,0.0038405639453375,0.0051231267215811,39,1,1
Post_3320,Instagram,#Music,Post,UK,2537706.0,119745.0,44035.0,24671.0,High,Experience the best of post with #Music!,1286958,20.0,0.1464313520720956,0.0930449944753441,0.0342163458325757,0.0191700117641756,40,1,1
Post_4406,TikTok,#Gaming,Post,Germany,737720.0,449979.0,95027.0,2597.0,Medium,Experience the best of post with #Gaming!,2116141,21.0,0.2587743444316801,0.2126413126535519,0.0449057978650761,0.0012272339130521,41,1,1
Post_10,TikTok,#Gaming,Shorts,India,3898384.0,8634.0,69378.0,42700.0,Low,Amazing shorts content you can't miss #Gaming,3261239,15.0,0.037014153209869,0.01,0.021273509853157,0.013093183296287,45,1,1
Post_1236,YouTube,#Fitness,Reel,Japan,1658169.0,328783.0,1574.0,11658.0,High,Experience the best of reel with #Fitness!,3363588,11.0,0.1016815971516131,0.097747702750753,0.002,0.0034659417265134,42,1,1
Post_509,YouTube,#Gaming,Shorts,Brazil,1020876.0,129614.0,63924.0,20813.0,High,Experience the best of shorts with #Gaming!,8038336,20.0,0.0266660910914895,0.0161244814847251,0.00795239213688,0.0025892174698843,43,1,1
Post_1425,Twitter,#Tech,Shorts,Brazil,3069341.0,152047.0,18783.0,29122.0,High,What are your thoughts on this shorts post? #Tech,319469,12.0,0.6258885838688574,0.4759366323493046,0.0587944370189282,0.0911575145006244,49,1,1
Post_1738,Instagram,#Dance,Tweet,USA,2536643.0,205972.0,96758.0,48582.0,Low,Experience the best of tweet with #Dance!,490436,5.0,0.716325881460578,0.419977326297417,0.1972897585005994,0.0990587966625614,41,1,1
,Twitter,#vibe,Gaming,,,,,,,nice,536,,0.01409,0.01,0.002273,0.00314,4,1,0
,Twitter,,Travel,,,,,,,.,5561,,0.0035269999999999,0.01,0.002,0.001,1,0,0
,Twitter,,Gaming,,,,,,,cool,15870,,0.01285,0.01,0.002,0.003464,4,0,0
Post_3850,Instagram,#Fashion,Reel,Australia,4165262.0,271304.0,50757.0,28623.0,Low,Discover what everyone loves in reel #Fashion,2831154,7.0,0.1238660984178183,0.0958280616314054,0.0179280251091957,0.0101100116772171,45,1,1
Post_4777,YouTube,#Gaming,Video,Canada,619225.0,412705.0,58028.0,15962.0,Medium,Discover what everyone loves in video #Gaming,7165513,14.0,0.0679218640730956,0.0575960158051489,0.0080982338598785,0.0022276144080682,45,1,1
Post_489,YouTube,#Comedy,Post,Germany,3747425.0,488131.0,30145.0,34060.0,Low,Experience the best of post with #Comedy!,3252407,22.0,0.1698237643689734,0.1500830000673347,0.0092685202067268,0.0104722440949118,41,1,1
Post_2217,Twitter,#Education,Tweet,Canada,3681125.0,234402.0,12937.0,11806.0,Low,What are your thoughts on this tweet post? #Education,180974,3.0,1.0,0.5,0.0714854067435101,0.0652358902383767,53,1,1
Post_4986,TikTok,#Music,Live Stream,India,379978.0,409651.0,84380.0,34427.0,Low,Level up your live stream game with #Music,123029,5.0,1.0,0.5,0.2,0.1,42,1,1
Post_288,YouTube,#Comedy,Tweet,Australia,2507996.0,317525.0,50404.0,25462.0,High,Experience the best of tweet with #Comedy!,6473764,12.0,0.0607669664819415,0.0490479727095396,0.007785887777188,0.0039331059952139,42,1,1
Post_4934,Twitter,#Fitness,Video,Japan,920003.0,299451.0,34395.0,13688.0,High,Amazing video content you can't miss #Fitness,867065,12.0,0.4008165477790015,0.3453616510872887,0.0396683062976824,0.0157865903940304,45,1,1
Post_3841,Instagram,#Viral,Shorts,USA,3821272.0,244744.0,90943.0,48466.0,Low,New trend in shorts just dropped #Viral!,430554,2.0,0.8922295461196506,0.5,0.2,0.1,40,1,1
Post_414,TikTok,#Music,Live Stream,UK,3739590.0,227858.0,13222.0,41021.0,Medium,Experience the best of live stream with #Music!,1564681,8.0,0.1802929798470103,0.1456258496140746,0.0084502847545282,0.0262168454784074,47,1,1
Post_96,TikTok,#Music,Reel,India,1347102.0,274212.0,15298.0,28342.0,High,Amazing reel content you can't miss #Music,500776,20.0,0.6347189162419924,0.5,0.0305485885905075,0.0565961627554036,42,1,1
Post_1318,Twitter,#Fitness,Video,Germany,2055018.0,318200.0,34749.0,4831.0,High,What are your thoughts on this video post? #Fitness,513134,19.0,0.697244774269489,0.5,0.0677191532815989,0.0094146947970705,51,1,1
Post_248,YouTube,#Viral,Tweet,USA,3703315.0,449350.0,54600.0,26510.0,Medium,New trend in tweet just dropped #Viral!,5746698,17.0,0.0923069212963688,0.0781927291115698,0.0095011082886207,0.0046130838961782,39,1,1
Post_1917,YouTube,#Music,Live Stream,Canada,29816.0,396506.0,411.0,41454.0,Low,Amazing live stream content you can't miss #Music,4462317,2.0,0.0982384263601174,0.0888565290184449,0.002,0.009289792724273,49,1,1
Post_2330,YouTube,#Education,Tweet,India,4499716.0,319387.0,40397.0,975.0,High,Amazing tweet content you can't miss #Education,8720877,10.0,0.0413672845059046,0.0366232662150836,0.0046322176083896,0.001,47,1,1
Post_1863,Instagram,#Viral,Reel,Australia,2206289.0,230130.0,40936.0,3040.0,Low,Amazing reel content you can't miss #Viral,2948356,0.0,0.0929690987112818,0.0780536678745714,0.013884347751764,0.0010310830849463,42,1,1
,TikTok,#debate #fyp #foodie,Gaming,,,,,,,What's your favorite travel memory?,43935,,0.096868,0.044169,0.015254,0.037445,35,3,0
Post_3710,YouTube,#Fitness,Tweet,India,1955706.0,361088.0,80015.0,8735.0,High,Amazing tweet content you can't miss #Fitness,3217150,20.0,0.1398250003885426,0.1122384719394495,0.0248713923814556,0.0027151360676375,45,1,1
Post_3182,TikTok,#Tech,Shorts,Japan,3914990.0,257949.0,1409.0,41644.0,Medium,Discover what everyone loves in shorts #Tech,3969871,21.0,0.0758216073015974,0.0649766705265737,0.002,0.0104900134034581,44,1,1
Post_4659,YouTube,#Tech,Post,Australia,3117939.0,402589.0,59229.0,903.0,Medium,Level up your post game with #Tech,4277232,17.0,0.1081823478361706,0.0941237230059066,0.0138475069858263,0.001,34,1,1
Post_4630,Twitter,#Fashion,Post,Australia,2751747.0,157563.0,96955.0,49493.0,High,New trend in post just dropped #Fashion!,884183,19.0,0.3438326681241326,0.178201797591675,0.109654901756763,0.0559759687756946,40,1,1
Post_1511,YouTube,#Fashion,Tweet,Japan,2829354.0,130736.0,42112.0,46374.0,Medium,Experience the best of tweet with #Fashion!,7196904,17.0,0.0304605980571645,0.0181655889810396,0.0058514049930358,0.006443604083089,43,1,1
Post_3035,TikTok,#Dance,Video,USA,3249902.0,319481.0,63705.0,49236.0,High,What are your thoughts on this video post? #Dance,282303,11.0,1.0,0.5,0.2,0.1,49,1,1
Post_3063,Instagram,#Fashion,Shorts,India,1592224.0,151107.0,21352.0,42997.0,Medium,Experience the best of shorts with #Fashion!,2938509,13.0,0.0733215382358876,0.0514230175915745,0.0072662700709781,0.0146322505733349,44,1,1
Post_237,YouTube,#Challenge,Tweet,UK,1091635.0,198291.0,5604.0,31314.0,Medium,Discover what everyone loves in tweet #Challenge,2491194,14.0,0.0944161715225711,0.0795967716685252,0.0022495237223596,0.0125698761316862,48,1,1
Post_4164,Twitter,#Comedy,Tweet,Australia,4840021.0,49033.0,50170.0,13175.0,High,Experience the best of tweet with #Comedy!,300722,11.0,0.3736939764965649,0.1630509241093102,0.1668318247417881,0.0438112276454665,42,1,1
Post_4417,YouTube,#Tech,Live Stream,UK,3524926.0,301463.0,22012.0,41393.0,High,New trend in live stream just dropped #Tech!,2365794,18.0,0.1542264457514052,0.1274257183846099,0.0093042758583376,0.0174964515084576,44,1,1
Post_352,YouTube,#Fashion,Post,Canada,4443444.0,329468.0,67869.0,13843.0,Medium,Experience the best of post with #Fashion!,326149,9.0,1.0,0.5,0.2,0.042443791028027,42,1,1
Post_1088,TikTok,#Viral,Reel,Brazil,243690.0,434643.0,49661.0,16049.0,Low,Experience the best of reel with #Viral!,371099,7.0,1.0,0.5,0.1338214330946728,0.0432472197445964,40,1,1
Post_4113,YouTube,#Dance,Shorts,Japan,505897.0,69692.0,70459.0,38026.0,High,Experience the best of shorts with #Dance!,3042703,20.0,0.0585587880249896,0.0229046344648163,0.0231567129621261,0.0124974405980471,42,1,1
Post_4469,Twitter,#Fashion,Tweet,Brazil,4678841.0,316721.0,59725.0,28125.0,High,Experience the best of tweet with #Fashion!,317996,12.0,1.0,0.5,0.1878168278846274,0.0884445087359589,43,1,1
Post_975,YouTube,#Fitness,Reel,Germany,69120.0,45620.0,52454.0,12605.0,Medium,Discover what everyone loves in reel #Fitness,732030,21.0,0.1511946231711815,0.0623198502793601,0.0716555332431731,0.0172192396486482,45,1,1
,Twitter,#fyp,Lifestyle,,,,,,,Ever been here? Comment below!,30395,,0.072299,0.029245,0.007362,0.035692,30,1,0
Post_4218,Instagram,#Tech,Post,Japan,4498429.0,435775.0,48777.0,14555.0,Low,New trend in post just dropped #Tech!,1149063,22.0,0.4343599959271162,0.3792437838482311,0.0424493696168095,0.0126668424620756,37,1,1
Post_1395,Twitter,#Viral,Post,Canada,3436501.0,353078.0,6086.0,47414.0,Medium,Amazing post content you can't miss #Viral,761657,8.0,0.533807212432893,0.4635656207452961,0.0079904734020694,0.0622511182855274,42,1,1
Post_1079,Twitter,#Challenge,Video,Brazil,3216923.0,205624.0,63081.0,49107.0,Low,New trend in video just dropped #Challenge!,635953,1.0,0.4997413330859356,0.3233320701372585,0.0991912924382776,0.0772179705103993,43,1,1
Post_1172,TikTok,#Gaming,Video,Brazil,4198164.0,5801.0,27958.0,40130.0,High,Level up your video game with #Gaming,420062,19.0,0.1759002242526103,0.013809866162614,0.0665568416090958,0.0955335164809004,37,1,1
Post_3130,YouTube,#Fashion,Live Stream,Canada,4485690.0,428585.0,35124.0,26006.0,Medium,Discover what everyone loves in live stream #Fashion,3632413,17.0,0.1348180947485872,0.1179890612658857,0.009669605300939,0.0071594281817623,52,1,1
Post_4923,Twitter,#Dance,Tweet,UK,4364823.0,367836.0,5655.0,6771.0,High,Discover what everyone loves in tweet #Dance,708552,20.0,0.5366747959218237,0.5,0.0079810656098634,0.0095561087965315,44,1,1
Post_3392,YouTube,#Tech,Post,Canada,1145812.0,399549.0,44531.0,22800.0,Low,What are your thoughts on this post post? #Tech,73769,0.0,1.0,0.5,0.2,0.1,47,1,1
Post_3268,TikTok,#Gaming,Reel,Australia,4784006.0,167376.0,4736.0,32126.0,Low,Experience the best of reel with #Gaming!,1752849,3.0,0.1165177376944619,0.0954879741495131,0.002701887042181,0.0183278765027677,41,1,1
Post_1918,Twitter,#Challenge,Live Stream,Brazil,2581052.0,65940.0,31348.0,24666.0,Medium,Discover what everyone loves in live stream #Challenge,979620,14.0,0.1244911292133684,0.0673118147853249,0.0320001633286376,0.0251791510994058,54,1,1
Post_1056,TikTok,#Fitness,Post,Brazil,2878436.0,149765.0,9840.0,42118.0,High,Experience the best of post with #Fitness!,1218420,12.0,0.1655611365538976,0.1229173848098356,0.0080760328950608,0.0345677188490011,42,1,1
Post_3942,Instagram,#Tech,Post,Canada,234535.0,251440.0,28477.0,22111.0,High,What are your thoughts on this post post? #Tech,1236439,20.0,0.2442724630976538,0.2033581923572452,0.0230314637438644,0.0178828069965441,47,1,1
Post_1121,Instagram,#Viral,Tweet,Germany,4746014.0,29305.0,89872.0,16323.0,Medium,Experience the best of tweet with #Viral!,2735685,21.0,0.0495305563323262,0.010712125116744,0.0328517354885522,0.0059666957270299,41,1,1
Post_2560,TikTok,#Fitness,Post,UK,2000181.0,232088.0,3584.0,21517.0,Medium,Amazing post content you can't miss #Fitness,4462146,17.0,0.0576379616444643,0.0520126414509969,0.002,0.0048221192224548,44,1,1
Post_4193,TikTok,#Gaming,Shorts,USA,3958536.0,127248.0,80732.0,29365.0,Low,Experience the best of shorts with #Gaming!,2855049,16.0,0.0831316730465921,0.0445694627307622,0.028276922742832,0.0102852875729978,43,1,1
,Instagram,#random,Video Games,,,,,,,another one,45746,,0.0129749999999999,0.01,0.002945,0.001186,11,1,0
Post_2884,TikTok,#Music,Reel,UK,2737221.0,436890.0,74251.0,15461.0,Low,Level up your reel game with #Music,1118406,1.0,0.4708504782699663,0.390636316328775,0.0663900229433676,0.0138241389978236,35,1,1
Post_2411,TikTok,#Comedy,Live Stream,Japan,2027807.0,181535.0,68072.0,3161.0,Medium,New trend in live stream just dropped #Comedy!,2570767,13.0,0.0983239632374306,0.0706151121435742,0.0264792569688345,0.0012295941250218,46,1,1
Post_4996,YouTube,#Education,Video,Japan,4258236.0,381509.0,59209.0,4674.0,High,Discover what everyone loves in video #Education,7909381,11.0,0.0563118656188139,0.0482350009438159,0.0074859208324899,0.001,48,1,1
Post_2761,TikTok,#Gaming,Video,Japan,1644851.0,298638.0,90093.0,8246.0,Low,Discover what everyone loves in video #Gaming,53124,1.0,1.0,0.5,0.2,0.1,45,1,1
Post_3390,Instagram,#Challenge,Tweet,UK,1890827.0,110536.0,55270.0,12779.0,Medium,What are your thoughts on this tweet post? #Challenge,707742,14.0,0.2523306515651183,0.1561812072760978,0.0780934295265789,0.0180560147624416,53,1,1
Post_3981,Twitter,#Challenge,Reel,USA,4332749.0,174493.0,80245.0,4174.0,Low,Experience the best of reel with #Challenge!,138289,23.0,1.0,0.5,0.2,0.0301831671354916,44,1,1
Post_2716,YouTube,#Education,Shorts,Brazil,737845.0,258734.0,17484.0,7028.0,Medium,What are your thoughts on this shorts post? #Education,8652422,9.0,0.0327360362219965,0.0299030722264817,0.0020207058786545,0.001,54,1,1
